Object,CA_Date,CADistanceNominal,CADistanceMinimum,Vrelative,Vinfinity,H(mag),Diameter,
(2021 SW),2021-Sep-20 03:05 ±    00:31,1.36 | 0.00348,1.34 | 0.00345,10.42,10.35,28,6.7 m -   15 m,bK21S00W
(2021 RZ7),2021-Sep-20 13:54 ±    00:02,6.20 | 0.01592,6.08 | 0.01563,13.49,13.47,25.9,18 m -   40 m,bK21R07Z
(2017 SL16),2021-Sep-20 14:48 ± < 00:01,12.73 | 0.03271,12.73 | 0.03271,6.12,6.1,25.9,17 m -   39 m,bK17S16L
(2021 SQ),2021-Sep-20 14:53 ±    00:10,0.72 | 0.00184,0.71 | 0.00183,10.74,10.6,28.4,5.5 m -   12 m,bK21S00Q
(2021 SB2),2021-Sep-20 15:34 ±    00:08,9.59 | 0.02465,9.56 | 0.02457,7.01,7,26.6,13 m -   28 m,bK21S02B
(2021 RL3),2021-Sep-20 15:39 ± < 00:01,7.60 | 0.01953,7.55 | 0.01939,22.52,22.51,23.7,48 m -  110 m,bK21R03L
(2021 SP2),2021-Sep-20 18:41 ±    00:23,7.88 | 0.02025,7.84 | 0.02014,6.78,6.76,25.7,19 m -   43 m,bK21S02P
(2021 RV19),2021-Sep-21 03:33 ± < 00:01,7.63 | 0.01960,7.58 | 0.01948,9.51,9.5,26.3,14 m -   32 m,bK21R19V
(2021 RX9),2021-Sep-21 04:40 ±    01:11,8.23 | 0.02115,7.88 | 0.02026,14.6,14.59,26,17 m -   38 m,bK21R09X
(2021 RP9),2021-Sep-21 11:12 ± < 00:01,15.71 | 0.04036,15.65 | 0.04020,18.01,18,24.5,34 m -   76 m,bK21R09P
(2021 RN16),2021-Sep-21 11:49 ±    00:34,1.25 | 0.00321,1.24 | 0.00320,9.74,9.65,28.4,5.5 m -   12 m,bK21R16N
(2021 SU1),2021-Sep-21 17:20 ± < 00:01,1.51 | 0.00388,1.51 | 0.00388,6.29,6.18,26.5,13 m -   29 m,bK21S01U
(2021 SO),2021-Sep-22 08:30 ± < 00:01,15.12 | 0.03886,15.07 | 0.03873,5.71,5.7,25.4,23 m -   51 m,bK21S00O
(2021 SA2),2021-Sep-22 09:32 ±    00:23,10.63 | 0.02732,10.57 | 0.02717,13.46,13.46,26.2,15 m -   34 m,bK21S02A
(2021 RS),2021-Sep-22 10:49 ± < 00:01,18.52 | 0.04759,18.49 | 0.04752,3.36,3.34,24.9,27 m -   61 m,bK21R00S
(2021 SG1),2021-Sep-22 11:33 ±    00:01,5.47 | 0.01405,5.41 | 0.01391,8.25,8.23,25.6,21 m -   46 m,bK21S01G
(2021 NY1),2021-Sep-22 14:41 ± < 00:01,3.90 | 0.01001,3.90 | 0.01001,9.35,9.33,21.8,120 m -  260 m,bK21N01Y
(2021 SK),2021-Sep-24 01:28 ±    00:03,13.30 | 0.03417,12.85 | 0.03301,12.83,12.82,25.4,23 m -   50 m,bK21S00K
(2021 QV6),2021-Sep-24 03:47 ± < 00:01,9.28 | 0.02383,9.27 | 0.02382,13.14,13.14,22.9,69 m -  150 m,bK21Q06V
(2021 TD1),2021-Sep-24 09:21 ± < 00:01,6.33 | 0.01627,6.33 | 0.01627,10.49,10.47,26.1,16 m -   37 m,bK21T01D
(2021 SO1),2021-Sep-25 01:08 ± < 00:01,14.31 | 0.03678,14.26 | 0.03665,7.1,7.09,27,11 m -   24 m,bK21S01O
(2021 SW2),2021-Sep-25 04:11 ±    00:02,2.90 | 0.00744,2.88 | 0.00740,22.03,22.02,25.7,19 m -   42 m,bK21S02W
(2019 SF6),2021-Sep-25 07:53 ± < 00:01,14.77 | 0.03796,14.77 | 0.03796,8.72,8.72,26.2,15 m -   34 m,bK19S06F
(2021 TH1),2021-Sep-25 08:47 ±    00:41,3.56 | 0.00914,3.54 | 0.00910,7.09,7.05,28,6.7 m -   15 m,bK21T01H
(2021 TF),2021-Sep-26 19:01 ± < 00:01,14.09 | 0.03621,14.04 | 0.03606,16.36,16.36,25.4,22 m -   49 m,bK21T00F
(2021 SW1),2021-Sep-26 21:07 ±    00:11,0.71 | 0.00182,0.70 | 0.00179,10.76,10.63,29.8,2.9 m -  6.5 m,bK21S01W
(2021 TE3),2021-Sep-26 22:29 ± < 00:01,2.15 | 0.00553,2.15 | 0.00552,6.55,6.48,28,6.6 m -   15 m,bK21T03E
(2021 SH3),2021-Sep-27 01:43 ±    00:01,13.47 | 0.03461,13.39 | 0.03440,12.03,12.02,25.6,20 m -   45 m,bK21S03H
(2021 TK2),2021-Sep-27 02:35 ± < 00:01,17.51 | 0.04500,17.44 | 0.04482,10.21,10.2,24.3,36 m -   81 m,bK21T02K
(2021 RP10),2021-Sep-27 03:56 ± < 00:01,9.61 | 0.02470,9.52 | 0.02446,16.36,16.36,24.7,31 m -   69 m,bK21R10P
(2021 SY2),2021-Sep-27 06:32 ± < 00:01,10.26 | 0.02636,10.23 | 0.02630,5.04,5.02,26.2,16 m -   35 m,bK21S02Y
(2021 SQ1),2021-Sep-27 10:26 ±    00:01,0.43 | 0.00111,0.43 | 0.00111,13.4,13.22,28.8,4.6 m -   10 m,bK21S01Q
(2021 TC),2021-Sep-27 10:31 ± < 00:01,11.87 | 0.03051,11.78 | 0.03028,23.93,23.93,24.1,40 m -   89 m,bK21T00C
(2021 TB4),2021-Sep-27 13:25 ± < 00:01,16.19 | 0.04160,16.18 | 0.04158,18.28,18.27,24.8,29 m -   65 m,bK21T04B
(2021 TA1),2021-Sep-27 21:04 ± < 00:01,15.26 | 0.03922,15.17 | 0.03898,8.67,8.67,25.6,21 m -   46 m,bK21T01A
(2021 SY3),2021-Sep-27 23:10 ± < 00:01,3.39 | 0.00870,3.37 | 0.00867,6.94,6.9,27,11 m -   24 m,bK21S03Y
(2021 SR2),2021-Sep-28 03:37 ± < 00:01,2.14 | 0.00550,2.14 | 0.00549,11.1,11.05,26,17 m -   38 m,bK21S02R
(2021 SK1),2021-Sep-28 12:38 ± < 00:01,7.37 | 0.01895,7.34 | 0.01887,14.21,14.2,25.3,23 m -   52 m,bK21S01K
(2021 RG19),2021-Sep-28 22:02 ± < 00:01,2.15 | 0.00553,2.15 | 0.00552,15.37,15.34,24.7,30 m -   67 m,bK21R19G
(2021 TF10),2021-Sep-28 23:02 ±    00:09,16.95 | 0.04354,16.83 | 0.04325,8.61,8.6,27.2,9.7 m -   22 m,bK21T10F
(2021 ST1),2021-Sep-28 23:34 ± < 00:01,4.72 | 0.01213,4.71 | 0.01209,10.59,10.57,27,11 m -   24 m,bK21S01T
(2021 TU12),2021-Sep-29 05:10 ±    01:02,13.20 | 0.03393,12.86 | 0.03305,9.44,9.43,24.2,38 m -   86 m,bK21T12U
(2021 TD),2021-Sep-29 10:25 ± < 00:01,5.56 | 0.01430,5.55 | 0.01427,11.46,11.44,26.7,12 m -   27 m,bK21T00D
(2021 RM5),2021-Sep-30 04:35 ± < 00:01,10.85 | 0.02789,10.82 | 0.02781,4.11,4.09,26.5,13 m -   30 m,bK21R05M
(2021 TD7),2021-Sep-30 08:50 ± < 00:01,10.07 | 0.02587,10.04 | 0.02579,13.27,13.26,26.7,12 m -   28 m,bK21T07D
(2021 RF2),2021-Sep-30 12:00 ± < 00:01,7.31 | 0.01879,7.30 | 0.01875,5.38,5.36,25.7,19 m -   43 m,bK21R02F
(2021 TT),2021-Sep-30 14:17 ± < 00:01,0.34 | 0.00089,0.34 | 0.00088,15.94,15.75,27.9,6.9 m -   15 m,bK21T00T
(2021 TY),2021-Sep-30 15:27 ±    00:19,16.60 | 0.04266,16.28 | 0.04183,11.87,11.86,26.6,13 m -   28 m,bK21T00Y
(2021 TC5),2021-Oct-01 16:26 ± < 00:01,12.21 | 0.03138,12.17 | 0.03127,6.7,6.69,27,11 m -   24 m,bK21T05C
(2021 TF1),2021-Oct-01 20:58 ±    00:02,5.80 | 0.01490,5.79 | 0.01487,14.92,14.9,25.9,17 m -   39 m,bK21T01F
(2021 TX),2021-Oct-01 21:29 ± < 00:01,0.11 | 0.00028,0.11 | 0.00028,17.72,17.18,31.2,1.5 m -  3.5 m,bK21T00X
(2021 TW2),2021-Oct-02 00:07 ± < 00:01,7.07 | 0.01816,7.07 | 0.01816,4.15,4.11,25.7,19 m -   43 m,bK21T02W
(2021 SP5),2021-Oct-02 03:48 ± < 00:01,16.61 | 0.04268,16.54 | 0.04251,5.28,5.27,26.5,13 m -   30 m,bK21S05P
(2021 TL10),2021-Oct-02 14:23 ±    00:29,9.84 | 0.02528,9.66 | 0.02482,15.42,15.41,26.4,14 m -   32 m,bK21T10L
(2021 TV1),2021-Oct-03 04:05 ± < 00:01,0.42 | 0.00108,0.42 | 0.00108,10.25,10.01,28.2,6.1 m -   14 m,bK21T01V
(2021 SZ1),2021-Oct-03 08:05 ± < 00:01,2.28 | 0.00585,2.27 | 0.00583,13.66,13.63,26.5,13 m -   30 m,bK21S01Z
(2021 TP9),2021-Oct-03 12:56 ±    00:01,10.48 | 0.02693,10.39 | 0.02670,9.8,9.79,25.1,25 m -   55 m,bK21T09P
(2021 TG1),2021-Oct-03 21:41 ± < 00:01,0.76 | 0.00196,0.76 | 0.00195,11.01,10.89,28.2,6.1 m -   14 m,bK21T01G
(2021 TP6),2021-Oct-03 22:18 ± < 00:01,6.38 | 0.01639,6.35 | 0.01633,12.09,12.08,25.1,25 m -   56 m,bK21T06P
(2021 TB1),2021-Oct-04 02:34 ± < 00:01,16.98 | 0.04363,16.90 | 0.04344,5.13,5.12,25.9,18 m -   40 m,bK21T01B
(2021 SV1),2021-Oct-04 07:49 ±    00:01,6.80 | 0.01746,6.77 | 0.01739,8.88,8.86,26.5,13 m -   30 m,bK21S01V
(2021 TK),2021-Oct-04 08:57 ± < 00:01,6.86 | 0.01762,6.83 | 0.01754,8.06,8.04,26,16 m -   37 m,bK21T00K
(2021 TJ10),2021-Oct-04 17:33 ±    00:03,3.67 | 0.00943,3.65 | 0.00938,6.82,6.78,29,4.3 m -  9.5 m,bK21T10J
(2021 TG10),2021-Oct-04 22:50 ± < 00:01,7.18 | 0.01844,7.14 | 0.01836,12.71,12.7,27.8,7.5 m -   17 m,bK21T10G
(2021 TK12),2021-Oct-05 04:43 ± < 00:01,9.09 | 0.02336,9.05 | 0.02324,13.06,13.05,25.6,20 m -   44 m,bK21T12K
(2021 TC4),2021-Oct-05 08:22 ± < 00:01,14.82 | 0.03807,14.80 | 0.03802,5.4,5.39,26.5,13 m -   29 m,bK21T04C
(2021 TR3),2021-Oct-05 10:48 ± < 00:01,3.41 | 0.00877,3.41 | 0.00875,10.27,10.24,25.4,22 m -   49 m,bK21T03R
(2021 TY1),2021-Oct-05 14:28 ±    00:02,18.31 | 0.04704,18.23 | 0.04685,9.95,9.95,25.3,23 m -   51 m,bK21T01Y
(2021 TM),2021-Oct-05 18:19 ± < 00:01,1.78 | 0.00457,1.78 | 0.00457,14.21,14.16,27.4,8.8 m -   20 m,bK21T00M
(2021 SE1),2021-Oct-05 18:23 ± < 00:01,8.62 | 0.02215,8.60 | 0.02209,4.27,4.25,26.5,13 m -   30 m,bK21S01E
(2021 TQ3),2021-Oct-05 20:51 ± < 00:01,1.96 | 0.00503,1.96 | 0.00502,7.88,7.82,27.1,10 m -   23 m,bK21T03Q
(2021 SX4),2021-Oct-05 21:19 ± < 00:01,15.72 | 0.04039,15.68 | 0.04028,6.84,6.83,25.8,18 m -   41 m,bK21S04X
(2021 TS6),2021-Oct-05 22:05 ± < 00:01,2.49 | 0.00639,2.48 | 0.00638,7.9,7.85,25.9,18 m -   40 m,bK21T06S
(2021 TS4),2021-Oct-06 01:57 ± < 00:01,4.13 | 0.01061,4.12 | 0.01058,8.47,8.44,27.9,7.0 m -   16 m,bK21T04S
(2021 ST),2021-Oct-06 01:57 ± < 00:01,6.01 | 0.01544,6.00 | 0.01542,9.07,9.05,26,17 m -   38 m,bK21S00T
(2021 VQ),2021-Oct-06 02:44 ±    00:27,16.51 | 0.04242,16.38 | 0.04209,6.66,6.65,24.4,35 m -   77 m,bK21V00Q
(2021 TU4),2021-Oct-06 02:57 ± < 00:01,12.16 | 0.03125,12.00 | 0.03084,13.72,13.71,26.3,15 m -   33 m,bK21T04U
(2021 TQ8),2021-Oct-06 05:32 ± < 00:01,11.25 | 0.02891,11.18 | 0.02872,10.72,10.71,27,11 m -   24 m,bK21T08Q
(2021 RP12),2021-Oct-06 05:35 ± < 00:01,5.02 | 0.01290,5.01 | 0.01289,9.65,9.63,24.6,32 m -   72 m,bK21R12P
(2021 TR4),2021-Oct-06 06:45 ± < 00:01,1.96 | 0.00503,1.96 | 0.00502,11.51,11.46,27.8,7.3 m -   16 m,bK21T04R
(2021 TQ4),2021-Oct-06 11:56 ± < 00:01,0.99 | 0.00255,0.99 | 0.00255,6.23,6.06,29.9,2.7 m -  6.1 m,bK21T04Q
(2021 TG8),2021-Oct-06 14:04 ±    00:06,7.47 | 0.01921,7.42 | 0.01908,8.47,8.45,27.4,8.8 m -   20 m,bK21T08G
(2021 TR1),2021-Oct-06 15:30 ±    00:03,18.77 | 0.04824,18.29 | 0.04699,12.8,12.79,25.1,26 m -   58 m,bK21T01R
(1998 SD9),2021-Oct-06 19:53 ± < 00:01,10.58 | 0.02718,10.58 | 0.02718,10.82,10.81,24.1,40 m -   90 m,bJ98S09D
(2021 TU10),2021-Oct-07 06:09 ±    00:01,6.09 | 0.01564,6.05 | 0.01554,11.56,11.55,26.9,11 m -   25 m,bK21T10U
(2021 TM8),2021-Oct-07 06:19 ±    00:01,11.80 | 0.03033,11.73 | 0.03015,6.62,6.61,27.8,7.4 m -   16 m,bK21T08M
(2021 TP4),2021-Oct-07 12:59 ± < 00:01,12.36 | 0.03175,12.30 | 0.03161,21.61,21.6,24.6,32 m -   71 m,bK21T04P
(2021 TH12),2021-Oct-07 13:14 ± < 00:01,19.22 | 0.04940,19.22 | 0.04937,12.77,12.76,22.9,71 m -  160 m,bK21T12H
(2021 TZ13),2021-Oct-07 13:16 ± < 00:01,17.27 | 0.04438,17.13 | 0.04402,9.91,9.9,25.8,18 m -   41 m,bK21T13Z
(2021 TX1),2021-Oct-07 13:18 ± < 00:01,1.27 | 0.00326,1.26 | 0.00325,17.84,17.79,27.3,9.2 m -   21 m,bK21T01X
(2015 TQ21),2021-Oct-07 13:37 ± 5_23:08,10.70 | 0.02749,0.90 | 0.00230,20.73,20.72,27.4,8.8 m -   20 m,bK15T21Q
(2021 SD2),2021-Oct-07 18:40 ± < 00:01,5.73 | 0.01471,5.71 | 0.01467,6.62,6.59,26.9,11 m -   25 m,bK21S02D
(2021 TU13),2021-Oct-07 23:38 ±    00:06,2.38 | 0.00612,2.37 | 0.00609,9.33,9.28,25.7,19 m -   43 m,bK21T13U
(2021 TO8),2021-Oct-08 12:13 ±    00:12,8.36 | 0.02147,8.30 | 0.02134,10.13,10.12,27.9,7.0 m -   16 m,bK21T08O
(2021 TR12),2021-Oct-08 13:21 ± < 00:01,13.01 | 0.03342,12.94 | 0.03324,12.2,12.19,25.6,20 m -   45 m,bK21T12R
(2021 TR21),2021-Oct-08 16:14 ± < 00:01,8.37 | 0.02152,8.31 | 0.02136,4.64,4.61,26.4,14 m -   32 m,bK21T21R
(2021 TN8),2021-Oct-09 06:21 ±    00:25,16.17 | 0.04155,15.93 | 0.04094,13.72,13.71,26.7,12 m -   27 m,bK21T08N
(2021 TZ1),2021-Oct-09 07:03 ± < 00:01,3.74 | 0.00960,3.73 | 0.00959,4.17,4.11,28.1,6.3 m -   14 m,bK21T01Z
(2021 TR10),2021-Oct-09 19:38 ± < 00:01,18.93 | 0.04864,18.82 | 0.04836,20.95,20.94,24.4,34 m -   77 m,bK21T10R
(2021 TQ10),2021-Oct-09 20:12 ± < 00:01,15.20 | 0.03905,15.17 | 0.03899,6.45,6.44,25.2,24 m -   54 m,bK21T10Q
(2021 TV13),2021-Oct-09 21:16 ± < 00:01,11.67 | 0.02999,11.65 | 0.02994,7.6,7.58,26.8,12 m -   26 m,bK21T13V
(2021 TT1),2021-Oct-10 03:04 ± < 00:01,0.97 | 0.00251,0.97 | 0.00249,17.07,17.01,26.2,15 m -   34 m,bK21T01T
(2021 TT10),2021-Oct-10 04:56 ± < 00:01,1.68 | 0.00431,1.67 | 0.00430,14.64,14.6,23.4,55 m -  120 m,bK21T10T
(2021 TE8),2021-Oct-10 15:20 ± < 00:01,6.48 | 0.01666,6.46 | 0.01660,11.09,11.07,26.4,14 m -   31 m,bK21T08E
(2021 TO3),2021-Oct-10 19:16 ± < 00:01,12.93 | 0.03321,12.76 | 0.03280,9.71,9.71,26.4,14 m -   31 m,bK21T03O
(2021 TQ1),2021-Oct-10 19:58 ±    00:08,3.13 | 0.00804,3.10 | 0.00796,5.36,5.3,28.1,6.2 m -   14 m,bK21T01Q
(2021 TK11),2021-Oct-11 01:21 ± < 00:01,0.35 | 0.00091,0.35 | 0.00091,10.28,10,28.6,5.2 m -   12 m,bK21T11K
(2021 TT13),2021-Oct-11 03:17 ± < 00:01,0.14 | 0.00036,0.14 | 0.00036,13.53,12.97,29.7,3.1 m -  6.8 m,bK21T13T
(2021 TH15),2021-Oct-11 05:59 ±    00:04,0.82 | 0.00211,0.82 | 0.00210,12.52,12.42,28.9,4.5 m - 10.0 m,bK21T15H
(2021 TQ6),2021-Oct-11 07:03 ± < 00:01,9.56 | 0.02456,9.54 | 0.02451,5.26,5.24,25.4,22 m -   49 m,bK21T06Q
(2021 QF5),2021-Oct-11 09:14 ± < 00:01,15.38 | 0.03952,15.38 | 0.03952,7.09,7.08,23.7,48 m -  110 m,bK21Q05F
(2019 SE5),2021-Oct-11 11:43 ± 4_12:04,16.23 | 0.04171,10.73 | 0.02757,6.56,6.55,26.7,12 m -   27 m,bK19S05E
(2021 TY2),2021-Oct-11 20:43 ± < 00:01,10.11 | 0.02599,10.10 | 0.02594,5.16,5.14,27.1,10 m -   23 m,bK21T02Y
(2021 TC13),2021-Oct-11 20:51 ±    00:04,11.66 | 0.02995,11.62 | 0.02985,9.46,9.45,26,17 m -   38 m,bK21T13C
(2021 SF1),2021-Oct-12 00:33 ± < 00:01,6.22 | 0.01597,6.21 | 0.01595,3.38,3.33,27.2,9.7 m -   22 m,bK21S01F
(2021 TN1),2021-Oct-12 04:19 ± < 00:01,7.49 | 0.01925,7.48 | 0.01922,3.62,3.58,26.4,14 m -   32 m,bK21T01N
(2021 TE13),2021-Oct-12 09:59 ± < 00:01,0.07 | 0.00018,0.07 | 0.00018,10.87,9.41,29.4,3.6 m -  8.0 m,bK21T13E
(2021 TS10),2021-Oct-12 21:42 ± < 00:01,16.88 | 0.04337,16.83 | 0.04325,8.41,8.41,25.6,20 m -   46 m,bK21T10S
(2021 TN9),2021-Oct-12 22:56 ±    00:03,10.37 | 0.02666,10.30 | 0.02648,8.59,8.58,26.9,11 m -   24 m,bK21T09N
(2021 TS15),2021-Oct-12 23:45 ±    00:02,13.74 | 0.03531,13.64 | 0.03505,3.93,3.91,26.8,11 m -   26 m,bK21T15S
(2021 UN),2021-Oct-13 04:34 ±    01:38,1.45 | 0.00372,1.40 | 0.00359,13.11,13.05,28.9,4.5 m -   10 m,bK21U00N
(2021 TN14),2021-Oct-13 06:14 ± < 00:01,1.62 | 0.00416,1.61 | 0.00415,10.7,10.64,28.5,5.3 m -   12 m,bK21T14N
(2021 TX10),2021-Oct-13 11:57 ± < 00:01,2.45 | 0.00630,2.44 | 0.00627,8.63,8.58,28,6.8 m -   15 m,bK21T10X
(2021 UH2),2021-Oct-13 19:02 ± < 00:01,15.54 | 0.03992,15.52 | 0.03987,4.46,4.45,25.1,25 m -   56 m,bK21U02H
(2021 UC),2021-Oct-13 22:56 ± < 00:01,14.25 | 0.03662,14.07 | 0.03615,16.69,16.69,25.9,17 m -   39 m,bK21U00C
(2021 TP8),2021-Oct-14 01:21 ± < 00:01,4.36 | 0.01121,4.32 | 0.01109,12.36,12.34,27.7,7.8 m -   17 m,bK21T08P
(2021 TM14),2021-Oct-14 03:59 ± < 00:01,0.38 | 0.00098,0.38 | 0.00098,8.54,8.22,28,6.7 m -   15 m,bK21T14M
(2021 TL14),2021-Oct-14 07:07 ± < 00:01,1.25 | 0.00320,1.25 | 0.00320,6.05,5.91,26.9,11 m -   25 m,bK21T14L
(2021 TS3),2021-Oct-14 11:27 ± < 00:01,10.84 | 0.02784,10.81 | 0.02778,4.15,4.12,27.3,9.4 m -   21 m,bK21T03S
(2021 TC1),2021-Oct-14 14:11 ±    00:02,14.58 | 0.03746,14.40 | 0.03699,6.6,6.59,25.4,23 m -   51 m,bK21T01C
(2021 SM1),2021-Oct-14 16:36 ± < 00:01,6.85 | 0.01759,6.84 | 0.01757,7.22,7.2,25.5,21 m -   47 m,bK21S01M
(2021 TT4),2021-Oct-14 20:32 ± < 00:01,5.08 | 0.01305,5.07 | 0.01303,3.15,3.08,28.1,6.3 m -   14 m,bK21T04T
(2021 UE),2021-Oct-14 21:24 ± < 00:01,14.75 | 0.03791,14.63 | 0.03760,10.67,10.66,25.4,23 m -   50 m,bK21U00E
(2021 TN6),2021-Oct-14 22:56 ± < 00:01,9.93 | 0.02552,9.91 | 0.02546,19.8,19.79,25.1,26 m -   58 m,bK21T06N
(2021 TC21),2021-Oct-15 02:13 ± < 00:01,5.48 | 0.01409,5.47 | 0.01407,7.31,7.28,26.5,13 m -   30 m,bK21T21C
(2021 SM3),2021-Oct-15 02:41 ± < 00:01,12.94 | 0.03324,12.87 | 0.03306,15.8,15.8,22.8,74 m -  170 m,bK21S03M
(2021 TV10),2021-Oct-15 05:14 ±    00:02,1.91 | 0.00491,1.90 | 0.00488,11.59,11.55,27.8,7.3 m -   16 m,bK21T10V
(2021 TD13),2021-Oct-15 08:11 ±    00:04,6.99 | 0.01796,6.97 | 0.01790,9.98,9.96,27.2,9.5 m -   21 m,bK21T13D
(2017 TH1),2021-Oct-15 08:50 ± < 00:01,14.98 | 0.03848,14.98 | 0.03848,8.77,8.76,25.4,22 m -   48 m,bK17T01H
(2021 TK10),2021-Oct-15 20:07 ±    00:05,5.83 | 0.01499,5.78 | 0.01484,9.84,9.82,27.4,8.8 m -   20 m,bK21T10K
(2021 TY14),2021-Oct-15 21:15 ± < 00:01,2.04 | 0.00524,2.04 | 0.00523,8.83,8.77,27.2,9.6 m -   21 m,bK21T14Y
(2021 UD4),2021-Oct-16 09:33 ±    01:13,6.79 | 0.01746,6.71 | 0.01725,7.84,7.82,26.5,14 m -   30 m,bK21U04D
(2021 UL),2021-Oct-16 12:13 ± < 00:01,0.09 | 0.00024,0.09 | 0.00024,10.13,8.98,30.3,2.3 m -  5.2 m,bK21U00L
(2021 UP),2021-Oct-16 12:23 ± < 00:01,2.08 | 0.00535,2.08 | 0.00534,9.46,9.4,25.6,20 m -   46 m,bK21U00P
(2021 TJ15),2021-Oct-16 13:38 ± < 00:01,1.00 | 0.00257,1.00 | 0.00256,12.34,12.26,28.4,5.5 m -   12 m,bK21T15J
(2021 TF13),2021-Oct-16 13:42 ± < 00:01,7.46 | 0.01917,7.43 | 0.01910,18.01,18,26.4,14 m -   32 m,bK21T13F
(2021 TJ12),2021-Oct-17 11:15 ± < 00:01,5.48 | 0.01408,5.47 | 0.01405,9.59,9.57,26.1,16 m -   37 m,bK21T12J
(2021 TH13),2021-Oct-17 19:20 ±    00:02,1.65 | 0.00424,1.65 | 0.00423,8.61,8.54,28.1,6.3 m -   14 m,bK21T13H
(2021 UE2),2021-Oct-17 22:30 ± < 00:01,2.47 | 0.00634,2.46 | 0.00633,6.42,6.36,24.6,31 m -   70 m,bK21U02E
(2021 TG14),2021-Oct-18 00:51 ± < 00:01,0.65 | 0.00167,0.65 | 0.00167,11.4,11.26,28.2,6.0 m -   13 m,bK21T14G
(2021 UK2),2021-Oct-18 03:51 ±    00:09,2.07 | 0.00531,2.05 | 0.00526,11.97,11.93,26.8,11 m -   26 m,bK21U02K
(2021 UD3),2021-Oct-18 12:59 ± < 00:01,17.72 | 0.04554,17.58 | 0.04518,6.26,6.25,26.5,13 m -   30 m,bK21U03D
(2021 TO14),2021-Oct-18 21:23 ± < 00:01,6.34 | 0.01629,6.32 | 0.01625,15.76,15.75,25,27 m -   60 m,bK21T14O
(2021 TQ15),2021-Oct-18 21:44 ±    00:15,8.16 | 0.02098,8.09 | 0.02078,7.75,7.73,27.6,8.2 m -   18 m,bK21T15Q
(2021 UJ2),2021-Oct-19 00:06 ± < 00:01,16.20 | 0.04164,16.15 | 0.04151,5.23,5.22,26.2,16 m -   35 m,bK21U02J
(2021 UM3),2021-Oct-19 04:11 ±    00:03,7.62 | 0.01959,7.60 | 0.01952,14.91,14.9,24.7,31 m -   68 m,bK21U03M
(2021 UL6),2021-Oct-19 04:38 ±    00:21,15.51 | 0.03985,15.35 | 0.03945,24.21,24.2,24.4,35 m -   78 m,bK21U06L
(2020 TH6),2021-Oct-19 05:07 ±    00:47,7.25 | 0.01864,6.70 | 0.01722,5.86,5.83,28.8,4.6 m -   10 m,bK20T06H
(2021 TX2),2021-Oct-19 06:30 ± < 00:01,8.99 | 0.02309,8.97 | 0.02306,10.73,10.72,25.2,24 m -   54 m,bK21T02X
(2021 UD2),2021-Oct-19 06:42 ± < 00:01,9.81 | 0.02520,9.74 | 0.02503,12.24,12.24,26,17 m -   37 m,bK21U02D
(2021 TX14),2021-Oct-19 15:08 ± < 00:01,1.33 | 0.00343,1.33 | 0.00341,10.56,10.48,26.6,12 m -   28 m,bK21T14X
(2021 TL20),2021-Oct-19 21:21 ± < 00:01,12.32 | 0.03166,12.23 | 0.03143,22.5,22.5,23.6,50 m -  110 m,bK21T20L
(2021 US),2021-Oct-20 04:06 ± < 00:01,7.75 | 0.01991,7.70 | 0.01979,11.07,11.06,26.2,15 m -   34 m,bK21U00S
(1996 VB3),2021-Oct-20 18:52 ± < 00:01,8.75 | 0.02249,8.75 | 0.02249,15.32,15.31,22.1,100 m -  230 m,bJ96V03B
(2021 TV3),2021-Oct-21 10:26 ± < 00:01,13.12 | 0.03372,13.06 | 0.03356,12.63,12.62,24.3,36 m -   81 m,bK21T03V
(2021 UJ3),2021-Oct-21 10:54 ±    00:25,9.71 | 0.02495,9.63 | 0.02473,13.57,13.56,27,11 m -   24 m,bK21U03J
(2021 UB1),2021-Oct-21 11:07 ± < 00:01,8.54 | 0.02195,8.52 | 0.02189,8.66,8.65,27.3,9.3 m -   21 m,bK21U01B
(2021 UQ),2021-Oct-21 18:55 ± < 00:01,8.01 | 0.02058,8.00 | 0.02055,13.98,13.97,24,43 m -   95 m,bK21U00Q
(2021 TE4),2021-Oct-21 20:10 ±    00:07,8.30 | 0.02133,8.26 | 0.02123,6,5.98,26.9,11 m -   24 m,bK21T04E
(2021 SG2),2021-Oct-21 21:45 ± < 00:01,15.87 | 0.04077,15.83 | 0.04066,5.87,5.86,25.6,20 m -   45 m,bK21S02G
(2021 RE10),2021-Oct-21 22:39 ±    00:02,15.40 | 0.03957,15.34 | 0.03941,5.12,5.11,24,42 m -   94 m,bK21R10E
(2021 VL4),2021-Oct-21 22:53 ±    21:35,9.12 | 0.02345,8.53 | 0.02192,10.05,10.04,26.2,15 m -   34 m,bK21V04L
(2021 UX3),2021-Oct-22 13:04 ± < 00:01,17.21 | 0.04422,17.14 | 0.04404,9.32,9.31,23.6,50 m -  110 m,bK21U03X
(2021 UK20),2021-Oct-23 06:52 ± 4_00:39,1.44 | 0.00369,0.30 | 0.00077,7.97,7.88,28.7,4.9 m -   11 m,bK21U20K
(2021 UU),2021-Oct-23 08:53 ± < 00:01,4.80 | 0.01233,4.79 | 0.01231,11.24,11.22,26.6,13 m -   29 m,bK21U00U
(2021 UY),2021-Oct-23 13:50 ± < 00:01,3.78 | 0.00972,3.77 | 0.00970,5.97,5.92,27.8,7.4 m -   17 m,bK21U00Y
